ID,Ligand ID,Alkene,Alkyl Iodide,Ligand,ln(dr)
102,L1,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,C(C1(CC1)C(O2)=N[C@@H]3[C@H]2CC4=C3C=CC=C4)(O5)=N[C@@H]6[C@H]5CC7=C6C=CC=C7,1.9
101,L10,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC1=CC(C)=CC(C2=CC3=C(C=C2)C[C@H]4OC(C5(CC5)C6=N[C@@H](C(C=C(C7=CC(C)=CC(C)=C7)C=C8)=C8C9)[C@@H]9O6)=N[C@H]43)=C1,1.86
61,L100,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,FC(C=C1)=CC=C1CC(C2=N[C@@H](C(C=CC=C3)=C3C4)[C@@H]4O2)(CC5=CC=C(F)C=C5)C6=N[C@@H]7[C@@H](CC8=C7C=CC=C8)O6,0.99
78,L101,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,C1(C(CC2=CC=C(C34C[C@H]5C[C@H](C[C@H](C5)C4)C3)C=C2)(CC6=CC=C(C78C[C@H]9C[C@H](C[C@H](C9)C8)C7)C=C6)C%10=N[C@@H](C(C=CC=C%11)=C%11C%12)[C@@H]%12O%10)=N[C@@H]%13[C@@H](CC%14=C%13C=CC=C%14)O1,1.39
115,L102,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CCC(C1=N[C@@H](C(C=C(C2=CC=CC3=C2C=CC=C3)C=C4)=C4C5)[C@@H]5O1)(CC)C6=N[C@@H]7[C@@H](CC8=C7C=C(C9=C(C=CC=C%10)C%10=CC=C9)C=C8)O6,2.24
76,L103,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,C1(C(CC2=CC=CC=C2)(CC3=CC=CC=C3)C4=N[C@@H](C(C=C(C5=CC=CC6=C5C=CC=C6)C=C7)=C7C8)[C@@H]8O4)=N[C@@H]9[C@@H](CC%10=C9C=C(C%11=C(C=CC=C%12)C%12=CC=C%11)C=C%10)O1,1.28
95,L104,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,CC(C=CC1=C2C=CC=C1)=C2C(C=C3)=CC4=C3C[C@@H](O5)[C@H]4N=C5C(CC6=CC=CC=C6)(CC7=CC=CC=C7)C8=N[C@@H]9[C@@H](CC%10=C9C=C(C%11=C(C=CC=C%12)C%12=CC=C%11C)C=C%10)O8,1.67
83,L105,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,C1(C2(CC2)C3=N[C@H](C4=CC=CC=C4)[C@H](C5=CC=CC=C5)O3)=N[C@H](C6=CC=CC=C6)[C@H](C7=CC=CC=C7)O1,1.45
39,L107,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,C1(C2(CC(C=CC=C3)=C3C2)C4=N[C@@H](C5=CC=CC=C5)[C@H](C6=CC=CC=C6)O4)=N[C@@H](C7=CC=CC=C7)[C@H](C8=CC=CC=C8)O1,0.66
32,L108,C=C(CC1)CCC1C(C)(C)C,ICCCOC1=CC=CC=C1,C1(C2(CCCCC2)C3=N[C@@H](C4=CC=CC=C4)C(C5=CC=CC=C5)(C6=CC=CC=C6)O3)=N[C@@H](C7=CC=CC=C7)C(C8=CC=CC=C8)(C9=CC=CC=C9)O1,0.36
