No,yield20,,SampleName,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var
L1,1,1.00 ,CoH2L1,25.38,25.89,5.53,4.98,15.445,10.1934501,50,417.36703,-0.22562,567,-0.037755,0.187865,38,8.156,8.119,9.248,15.643,0.473886701,0.958987249,1.338913,5.80196,12.316146,38.089882,162.6755,3169.34501,1.4757,-73.06088,30.18673,1437.23214,834.59282,602.63932,-0.00228204,0.02612412,-0.04162162,0.00131719,0.10341862,0.03302714,0.88769815,98.94,303.52,6.33778,15.25474,0.40149448,0.00466717,-40.26798,-11.61956,-0.7509282,0.038454
L2,1,2.00 ,CoH2L2,6.73,26.06,6.77,5.18,11.185,8.611981479,72,571.57527,-0.226724,796,-0.042409,0.184315,63,8.203,8.522,13.944,15.683,0.411098587,0.955930757,1.460496,6.149468,11.46084,53.727041,432.4672,4483.83394,1.4285,-70.018,29.07158,1824.90738,1103.39393,721.51345,-0.00023371,0.02140297,-0.03332218,0.00111489,0.10619146,0.02616499,0.71063789,179.48,331.55,6.38601,15.12679,0.39890054,0.00365218,-41.46053,-12.14361,-0.7590688,0.033798
L3,1,3.00 ,CoH2L3,4.2,25.15,3.58,4.01,9.235,9.191274395,116,835.98057,-0.211386,1196,-0.037811,0.173575,100,11.019,12.487,13.503,21.761,0.455718205,0.987430801,2.239699,10.358795,10.058113,31.544873,842.8159,6968.4067,1.3443,-74.9745,30.25785,2723.28183,1279.91751,1443.36432,-0.00556771,0.01815955,-0.0266081,0.0009407,0.15586752,0.02292469,0.61599384,380.28,382.32,6.27569,15.10981,0.39618107,0.00252633,-42.11754,-12.08933,-0.7550265,0.034668
L4,1,4.00 ,CoH2L4,7.96,25.69,3.94,4.13,10.43,8.955146565,140,948.19351,-0.211613,1372,-0.036963,0.17465,114,12.015,12.581,14.2,23.943,0.472025077,0.996379526,2.018246,10.381236,9.804665,16.527647,737.1298,8169.23614,1.3007,-73.91364,29.19607,3214.38748,1434.93244,1779.45504,-0.00761521,0.01652782,-0.02708387,0.00093014,0.14347811,0.02278984,0.60876085,461.91,438.21,6.22528,15.0733,0.39438666,0.00222344,-42.0797,-11.95027,-0.739795,0.032309
,,5.00 ,CoH2L5,25.49,26.24,5.79,5.54,15.765,10.10386683,52,419.38291,-0.226433,572,-0.038102,0.188331,45,8.184,8.234,8.921,15.698,0.477825465,0.959066471,1.399248,5.940488,11.525099,39.134599,157.4859,3250.85603,1.4456,-71.45563,29.33532,1469.00231,882.40236,586.59995,-0.00173542,0.02387093,-0.04025419,0.00123996,0.09297848,0.03078337,0.82758179,106.76,304.6,6.36979,15.22421,0.39932383,0.00431879,-41.22635,-11.62029,-0.7418311,0.036809
L6,1,6.00 ,CoH2L6,5.26,24.97,3.8,3.86,9.4725,8.966536051,104,779.8741,-0.213226,1108,-0.037886,0.17534,85,10.594,11.718,11.766,21.166,0.474042553,0.998961676,2.226068,9.529561,10.133493,39.024212,715.287,6385.56928,1.3686,-74.31664,30.56822,2499.69713,1221.08246,1278.61467,-0.00578124,0.01873606,-0.02919537,0.00093099,0.15729211,0.02454103,0.65541555,314.01,385.98,6.29089,15.12406,0.39807958,0.00269641,-42.09968,-12.12721,-0.7618036,0.037415
L7,1,7.00 ,CoH2L7,9.04,24.62,5.98,5.42,11.265,7.832654403,110,807.92733,-0.21857,1152,-0.042307,0.176263,91,9.779,10.487,17.446,18.458,0.397878899,0.94375703,1.971155,8.007317,11.404699,38.756833,497.6955,6670.30895,1.3573,-70.50451,29.90493,2691.28974,1296.63292,1394.65681,-0.00351155,0.01911686,-0.02454952,0.00081153,0.16143612,0.02202987,0.59680344,357.85,395.79,6.40334,15.15897,0.40030088,0.0024642,-41.40155,-12.35424,-0.761183,0.034583
L8,1,8.00 ,CoH2L8,4.14,25.81,3.51,3.63,9.2725,9.550859582,120,796.00115,-0.21123,1148,-0.036982,0.174248,94,10.523,10.532,15.548,20.321,0.437943148,0.965551649,1.913378,8.142809,10.178024,38.830927,639.6024,6923.45224,1.2884,-70.67627,28.8894,2971.07824,1128.28662,1842.79162,-0.00859341,0.01876058,-0.02534146,0.00090607,0.150773,0.02248183,0.62157129,412.71,419.28,6.29367,15.12684,0.39547087,0.00233051,-41.04151,-12.20407,-0.7348177,0.035022
L9,1,9.00 ,CoH2L9,7.74,24.99,7.17,6.81,11.6775,7.693124772,118,793.98527,-0.209793,1143,-0.036403,0.17339,74,9.814,10.728,16.281,19.417,0.418235472,0.989250051,1.859129,8.230605,10.980042,54.049562,622.764,6851.55191,1.2986,-70.77814,30.31763,2868.12071,1077.48721,1790.63349,-0.0085668,0.02051581,-0.02606683,0.00089692,0.17944099,0.02342923,0.65256816,379.65,423.51,6.2645,15.05817,0.3973521,0.00236984,-39.98139,-12.39354,-0.7434328,0.035405
L10,1,10.00 ,CoH2L10,8.13,24.97,5.58,5.48,11.04,8.112308549,82,625.66586,-0.21278,879,-0.037941,0.174839,65,10.241,10.494,13.976,19.928,0.448849047,0.97295186,1.896311,8.030237,11.419366,24.479012,618.1806,5060.26809,1.3855,-72.51299,29.4222,2273.124,1015.42862,1257.69539,-0.00780714,0.02193852,-0.03182297,0.00096261,0.15826366,0.0275218,0.74579546,236.51,400.03,6.32461,15.22816,0.39960635,0.00313475,-40.22333,-11.85213,-0.7659563,0.042575
