,,SampleName,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var
1.00 ,,L1,6.23,5.98,4.81,4.91,5.4825,0.629737048,47,356.41796,-0.234247,94,-0.01044,0.223807,37,6.092,8.694,10.754,10.984,0.360935857,0.901510177,1.555786,6.49523,2.66257,12.096415,112.2821,2885.20185,1.3843,-45.21072,20.11405,1303.71385,681.43225,622.2816,-0.00417186,0.01365018,-0.02368796,0.0004461,0.1272981,0.01895843,0.50181483,191.3,173.78,8.32635,14.5875,0.41133898,0.00159316,-40.81184,-13.19363,-0.8150825,0.047091
2.00 ,,L2,8.71,7.53,11.09,10.46,9.4475,1.409226295,69,510.6262,-0.218334,135,-0.005786,0.212548,63,8.103,8.003,12.281,14.726,0.420622679,0.908675799,1.452927,5.506151,3.237115,24.565572,227.773,4167.94262,1.3729,-44.69688,22.30554,1758.14048,874.93558,883.2049,-0.00340279,0.01344366,-0.0200915,0.00030649,0.17551916,0.01698055,0.45669436,266.51,225.81,8.44973,14.798,0.40745036,0.00153911,-42.05832,-13.17842,-0.8012455,0.041364
3.00 ,,L3,7.53,7.42,7.35,7.51,7.4525,0.072240916,113,775.03149,-0.211881,207,-0.025318,0.186563,98,12.299,10.73,14.094,24.571,0.497439012,0.99890235,1.724308,8.498363,2.369707,30.898386,675.8809,6644.17857,1.3071,-46.5913,21.96158,2785.80882,1470.00984,1315.79898,-0.00302375,0.01075724,-0.01841987,0.00026156,0.168654,0.01476077,0.39120362,495.75,284.35,8.49678,14.79051,0.40240752,0.00124783,-42.11753,-13.23392,-0.7880219,0.041769
4.00 ,,L4,4.11,4,6.58,6.65,5.335,1.280829809,137,887.24443,-0.210157,239,-0.022288,0.187869,131,9.986,11.947,18.481,18.758,0.381368682,0.939214901,2.314419,9.358735,2.417857,20.095931,786.9721,7868.77949,1.2635,-44.32672,21.41813,3062.92858,1765.2712,1297.65738,-0.00128761,0.0097852,-0.01635053,0.00025782,0.14152776,0.01281679,0.34195735,612.75,244.96,8.28765,14.54777,0.40071628,0.00101926,-42.66128,-13.13658,-0.7614979,0.03771
5.00 ,,L5,10.5,7.69,10.37,12.49,10.2625,1.706419863,49,358.43384,-0.234204,95,-0.005265,0.228939,44,7.077,7.697,11.08,13.807,0.423735576,0.975483962,1.376149,5.318521,3.917991,9.823354,199.5415,2949.21599,1.3619,-47.60985,20.65313,1388.87477,693.03243,695.84234,-0.00344881,0.0136287,-0.02045736,0.00036701,0.14185943,0.0172876,0.46395241,209.15,179.78,8.3078,14.67062,0.40872436,0.00151146,-41.52391,-13.18024,-0.7969221,0.044401
6.00 ,,L6,7.85,8.1,7.59,7.65,7.7975,0.199421037,101,718.92502,-0.201405,191,-0.020252,0.181154,87,12.467,8.554,12.078,24.814,0.54601065,0.995187294,1.477774,6.142056,2.962075,33.062298,581.2646,6066.98378,1.3279,-44.15634,20.69304,2485.98357,1318.38571,1167.59786,-0.00283047,0.01151538,-0.019029,0.00026975,0.17830282,0.01537875,0.40937683,419.98,276.16,8.30471,14.57814,0.40004285,0.00136998,-42.3206,-12.30261,-0.7951005,0.043471
7.00 ,,L7,5.39,5.4,3.83,3.93,4.6375,0.758332875,107,746.97826,-0.212753,199,-0.01316,0.199593,81,9.488,12.03,13.762,18.804,0.421652166,0.990935919,2.07733,9.797459,2.780571,19.713872,605.5021,6336.76792,1.3209,-45.7591,23.02333,2478.42689,1163.46498,1314.96192,-0.00354152,0.01128307,-0.01665817,0.00023874,0.20354128,0.01422673,0.38463031,448.42,245.61,8.56599,14.79185,0.40608022,0.00121549,-42.69105,-13.01757,-0.7806445,0.037612
8.00 ,,L8,4.07,4.07,3.77,3.77,3.92,0.15,117,735.05207,-0.212944,199,-0.02216,0.190784,107,12.426,11.956,12.893,24.281,0.494219418,0.977023982,2.278463,9.201299,1.981892,10.987784,629.3283,6615.28844,1.2451,-44.65222,19.62531,2957.93031,1477.85459,1480.07572,-0.00290673,0.00965838,-0.01545298,0.00026197,0.15820192,0.01287481,0.34171666,590.48,237.83,8.45619,14.73128,0.40159548,0.00095835,-41.532,-13.27022,-0.761209,0.042628
9.00 ,,L9,4.6,4.6,5.59,5.67,5.115,0.515776114,115,733.03619,-0.211492,198,-0.02277,0.188722,77,13.36,9.601,11.693,26.13,0.550986842,0.977919162,1.604806,7.262504,2.556365,15.897694,242.2291,6543.66602,1.2553,-43.25062,18.66215,2936.36484,1556.50708,1379.85776,-0.00276624,0.00952193,-0.01662755,0.00029377,0.14356,0.01331092,0.34996581,572.64,249.62,8.39557,14.81929,0.4024231,0.00101626,-40.53821,-12.64825,-0.7684307,0.044526
10.00 ,,L10,8.16,8.1,7.59,7.61,7.865,0.265941723,79,564.71678,-0.213779,150,-0.023546,0.190233,63,10.788,8.962,12.896,21.281,0.493312316,0.986327401,1.416719,6.557155,2.078342,17.724023,667.421,4759.14158,1.3297,-50.49237,19.97379,2238.55994,1186.24204,1052.3179,-0.00435634,0.01054738,-0.0211568,0.00032075,0.12087459,0.01612137,0.42272155,394.39,232.47,8.29672,14.71884,0.405865,0.00136949,-41.3014,-13.27209,-0.8022494,0.050737
11.00 ,,L11,4.15,4.11,7.82,7.86,5.985,1.855107814,67,508.61031,-0.217683,134,-0.025646,0.192037,52,10.872,8.087,11.152,21.631,0.529263518,0.994803164,1.286132,5.782999,2.835458,18.980062,470.8216,4140.56413,1.3765,-40.34941,20.50906,1945.93764,916.38021,1029.55743,-0.00359526,0.01395329,-0.01921474,0.00023177,0.19240618,0.01672617,0.45543759,275.95,268.97,8.46718,14.71169,0.40660101,0.00160623,-40.85814,-13.10631,-0.827506,0.048438
12.00 ,,L12,4.69,4.42,4.71,4.53,4.5875,0.1192424,85,592.77002,-0.220878,158,-0.007948,0.21293,83,11.352,8.024,12.674,22.061,0.515938165,0.971678999,1.108526,5.697918,2.848141,22.743098,197.0408,5059.8825,1.3128,-40.10189,20.33646,2334.99596,1090.69073,1244.30523,-0.00319829,0.01082335,-0.01548891,0.00024078,0.19358556,0.01339824,0.36217262,439.52,214.34,8.47157,14.60552,0.40753893,0.0012291,-40.89133,-13.28931,-0.7846721,0.044931
13.00 ,,L13,10.61,7.8,10.8,12.69,10.475,1.7454011,55,386.48707,-0.233953,103,-0.005044,0.228908,50,7.058,7.697,12.085,13.722,0.409563037,0.97208841,1.375506,5.312878,3.845883,8.902178,182.9022,3244.43088,1.3349,-47.41205,20.43936,1493.1593,720.93202,772.22728,-0.00356722,0.01305584,-0.01908609,0.0003484,0.15161169,0.0163279,0.44013181,238.12,180.01,8.31207,14.63587,0.40856105,0.00143015,-41.80375,-13.17723,-0.7832033,0.039852
14.00 ,,L14,7.36,5.68,14.93,7.21,8.795,3.602530361,38,292.33251,-0.240645,77,-0.042898,0.197746,38,8.375,7.154,7.835,16.744,0.527652601,0.999641791,0.981871,4.676448,0.238284,28.929335,186.4467,2392.60352,1.3692,-51.13443,22.57807,1192.7968,668.77403,524.02277,-0.00228847,0.01617956,-0.02585794,0.00050318,0.13295647,0.02077214,0.5559693,152.87,181.14,8.58167,14.67997,0.4113414,0.001971,-39.7551,-13.09117,-0.8368387,0.052417
15.00 ,,L15,10.42,10.35,15.71,4.34,10.205,4.024006088,50,304.4278,-0.241825,83,-0.036253,0.205572,39,8.71,6.498,7.86,17.162,0.544479695,0.985189437,0.991408,4.136095,0.371016,22.943982,53.53,2715.8851,1.2561,-51.8838,19.78326,1286.10256,839.41932,446.68325,-0.00073044,0.01114418,-0.02304554,0.00055698,0.09351993,0.01551254,0.41572746,247.55,112.59,8.4882,14.4439,0.40662295,0.00116098,-39.71328,-13.68075,-0.751602,0.046244
16.00 ,,L16,15.15,15.03,12.76,11.83,13.6925,1.436286444,56,306.49004,-0.193799,85,-0.001827,0.191971,44,7.389,7.603,10.733,14.776,0.446243054,0.999864664,1.263672,5.212952,4.128612,14.188415,75.3719,3012.43849,1.1401,-51.89765,18.01711,1357.69838,863.25215,494.44623,0.00021293,0.01161977,-0.01970222,0.00045711,0.09588809,0.01450636,0.39628573,257.55,122.64,7.72761,13.27889,0.40398993,0.00075544,-34.8847,-12.94309,-0.6963393,0.02207
17.00 ,,L17,6.24,6.66,8.68,6.11,6.9225,1.034852043,58,374.5227,-0.198247,101,-0.021501,0.176746,49,6.692,9.552,12.466,12.671,0.365274294,0.946727436,1.507463,7.063936,5.01061,18.107248,172.5937,3340.80173,1.2562,-58.38089,20.77929,1456.66191,804.89458,651.76732,-0.00150948,0.01411517,-0.02080501,0.00049679,0.12880317,0.0173131,0.46554491,217.52,190.39,8.08246,14.31465,0.40394183,0.00130968,-37.25973,-13.02386,-0.7393731,0.031098
18.00 ,,L18,6.7,7.16,8.89,5.9,7.1625,1.094540429,64,402.57593,-0.194315,109,-0.019196,0.175119,59,7.031,10.389,13.282,13.635,0.365490806,0.969634476,1.747484,7.979048,5.789288,17.223037,192.7336,3648.51805,1.2365,-61.44685,20.07959,1600.93614,949.22184,651.71429,-0.0007593,0.01334151,-0.02129713,0.00055914,0.09480596,0.01673478,0.4511677,259.63,188.68,8.03229,14.01085,0.40419404,0.00113632,-37.27303,-13.03034,-0.731875,0.03224
19.00 ,,L19,5,4.77,8.94,9.09,6.95,2.067280823,66,434.57474,-0.183874,117,-0.011374,0.1725,61,7.98,11.44,13.753,15.898,0.386897374,0.996115288,2.286603,9.204129,4.319626,20.570074,538.9409,3802.73372,1.2806,-53.38771,22.44865,1761.06962,922.66182,838.4078,-0.00349609,0.01420221,-0.02297293,0.0004619,0.14995084,0.01881389,0.50008438,247.53,245.62,8.02832,15.02904,0.40468462,0.00153168,-37.682,-13.02116,-0.775787,0.045217
20.00 ,,L20,4.61,4.35,3.6,3.63,4.0475,0.442288085,78,526.71505,-0.191295,141,-0.029625,0.161671,75,9.934,12.507,13.569,19.848,0.432192318,0.998993356,2.420659,10.020502,1.626308,18.435915,453.9162,4627.81723,1.2754,-48.72567,22.39396,2108.77468,1115.42556,993.34911,-0.00228487,0.0134508,-0.01995436,0.00030802,0.17130039,0.01672274,0.44937786,321.81,268.7,8.14088,13.63998,0.40049347,0.00141344,-36.39925,-13.01479,-0.7864654,0.039842
