No,yield20,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
L1,1,6.3883238851096,6.3883238851096,0.1489849568921533,-0.19586569349962213,0.8175024877147915,33.18518518518518,356.4250000000001,336.2650000000001,356.15247788,134.0,0.0,0.19980581458292307,-0.47386711413813165,0.47386711413813165,0.19980581458292307,0.7037037037037037,1.1851851851851851,1.6666666666666667,16.526560586456874,10.06103936658963,2.6098878398594314,-2.180269754536308,2.560948015294737,-2.295566181253001,6.089942996343804,0.17917567225749825,2.991888591624676,1.2301639421211537,956.6787981114279,17.58721119088102,14.967554126949347,14.967554126949347,13.316429697797984,9.97269180378554,9.97269180378554,8.458766795551874,8.458766795551874,6.901449631229058,6.901449631229058,5.309332931456226,5.309332931456226,-2.619999999999999,4735950.208340448,14.439334451782797,4.802446108169001,1.831895097903902,157.4914402470115,9.473725907600098,29.70660490318931,11.795490688715223,0.0,0.0,0.0,0.0,9.984809465271338,0.0,0.0,48.53093654769288,35.09544921264,12.841643245852019,0.0,9.473725907600098,11.795490688715223,0.0,0.0,15.399799934668117,49.97490092549657,0.0,70.78474251448087,0.0,0.0,0.0,0.0,0.0,0.0,24.003423464211828,22.315369153452117,5.41499046939678,47.17913087093592,58.515746012964215,0.0,0.0,0.0,43.18,0.0,0.0,0.0,29.70660490318931,0.0,37.47877718041926,22.253805966787983,0.0,0.0,48.53093654769288,19.458535372871438,12.7766477702192,0.0,10.08396415973797,0.0,5.209909925333288,1.7481697740824726,17.486832508018992,4.27780919594141,0.0,0.0,0.391304347826087,27.0,0.0,4.0,3.0,2.0,5.0,2.0,0.0,2.0,4.0,0.0,4.0,2.0,1.0,0.0,1.0,7.0,3.956000000000003,102.05700000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2,1,6.8709811980347695,6.8709811980347695,0.017917097649691183,-0.6376249527588815,0.2915786902183458,24.102564102564102,510.6370000000003,480.39700000000033,510.23072819999993,192.0,0.0,0.20050499192297516,-0.47385019205903,0.47385019205903,0.20050499192297516,0.5384615384615384,0.9487179487179487,1.4102564102564104,16.525817026718535,9.751846901279404,2.5434331441132665,-2.3358276002642553,2.48581462376903,-2.4503759553578397,6.07032546168392,0.16189409022113888,3.7306604791125015,1.2848072476491053,1472.5007467656499,25.81297954112574,21.741056818845607,21.741056818845607,19.26591944058116,14.00116579001801,14.00116579001801,11.283517305452119,11.283517305452119,8.84890063644117,8.84890063644117,7.0102002665857075,7.0102002665857075,-4.179999999999999,2994641584.5592356,22.772353474079093,8.944110518841136,3.72959454389908,228.61145981266884,9.473725907600098,29.70660490318931,0.0,11.795490688715223,0.0,0.0,0.0,9.984809465271338,0.0,0.0,109.19460723230902,46.22235219603399,12.841643245852019,0.0,9.473725907600098,11.795490688715223,0.0,0.0,15.399799934668117,49.974900925496556,0.0,142.57531618249098,0.0,0.0,0.0,0.0,0.0,0.0,24.003423464211828,35.157012399304136,5.41499046939678,45.46439060847789,119.17941669758036,0.0,0.0,0.0,43.18000000000001,5.41499046939678,0.0,0.0,24.291614433792525,12.841643245852019,24.63713393456724,33.380708950181976,0.0,0.0,109.19460723230902,19.458535372871438,13.741962396069539,0.0,10.745285021415974,0.0,7.05582532286665,1.5402181489879905,38.610543065806034,3.2228327115204816,0.0,0.0,0.2571428571428571,39.0,0.0,4.0,2.0,2.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,6.0,0.0,0.0,0.0,8.0,6.647600000000008,153.11499999999967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L3,1,7.1801488344764515,7.1801488344764515,0.07046585659153681,-0.7375916522288903,0.15454663022192475,20.508474576271187,775.049,720.6169999999998,774.418528968,296.0,0.0,0.2005049946853078,-0.47385018881359403,0.47385018881359403,0.2005049946853078,0.4576271186440678,0.8305084745762712,1.2033898305084745,16.525875577407717,9.751772437223735,2.5463865197504982,-2.3359244981284095,2.4996551190113543,-2.4503806867497335,6.07134319426538,0.1618957355328672,4.0078828617172535,1.051152491728512,2391.651755382408,40.51972184338277,35.20515843398335,35.20515843398335,28.408915862003806,21.465267405155746,21.465267405155746,19.367776222029633,19.367776222029633,13.198971202509057,13.198971202509057,9.78973759998878,9.78973759998878,-5.7399999999999975,34051928529185.027,37.52508979834315,14.222406570437979,6.905915639038305,349.64518513996956,9.473725907600098,29.70660490318931,0.0,11.795490688715223,0.0,0.0,0.0,9.984809465271338,0.0,0.0,175.00249870429917,102.56577622193275,12.841643245852019,0.0,9.473725907600098,11.795490688715223,0.0,0.0,15.399799934668117,102.34730506243386,0.0,190.1004215766546,0.0,22.253805966787983,0.0,0.0,0.0,0.0,24.003423464211828,45.98699333809769,5.41499046939678,98.13371679001561,155.57761910835,0.0,22.253805966787983,0.0,43.18000000000001,5.41499046939678,0.0,0.0,35.121595372586086,12.841643245852019,24.63713393456724,66.76141790036395,0.0,0.0,187.13523284122243,19.458535372871438,14.360297668952903,0.0,11.26370265336202,0.0,14.611295040424846,1.4952315266996428,53.25604423634859,2.8467448081602202,13.583350732718449,0.0,0.3090909090909091,59.0,0.0,4.0,2.0,2.0,4.0,6.0,0.0,6.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,10.0,12.576599999999981,241.3869999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L4,1,7.298304315271932,7.298304315271932,0.02703198225652992,-0.7656407418339235,0.1528082690101165,20.059701492537314,887.2649999999998,816.7049999999996,886.54372948,344.0,0.0,0.20050499468530783,-0.47385018881359403,0.47385018881359403,0.20050499468530783,0.40298507462686567,0.746268656716418,1.0746268656716418,16.52589974835298,9.7517362881992,2.5475180073601544,-2.335955985117121,2.505311279030176,-2.450380750972552,6.071539641738139,0.16189483892956105,4.053884745871726,1.0786657928731758,2646.72172566444,47.26020881938892,42.05045789560408,42.05045789560408,31.61925929304888,24.78663461020166,24.78663461020166,24.31115189500369,24.31115189500369,15.027247054942862,15.027247054942862,10.784947311956838,10.784947311956838,-5.7399999999999975,659665105414335.4,45.062881234346605,16.209289622897522,8.595347390432227,400.56472205514234,9.473725907600098,29.70660490318931,0.0,11.795490688715223,0.0,0.0,0.0,9.984809465271338,0.0,0.0,204.41218776551975,124.52266014412031,12.841643245852019,0.0,9.473725907600098,11.795490688715223,0.0,0.0,15.399799934668117,154.7197091993712,0.0,189.0945904231254,0.0,22.253805966787983,0.0,0.0,0.0,0.0,24.003423464211828,56.816974276891244,5.41499046939678,150.80304297155337,143.4448849714268,0.0,22.253805966787983,0.0,43.18000000000001,5.41499046939678,0.0,0.0,45.95157631137964,12.841643245852019,24.63713393456724,77.88832088375794,0.0,0.0,216.54492190244298,19.458535372871438,14.596608630543864,0.0,11.461573794946393,0.0,17.328243693946728,1.4952046216580295,49.87142206797201,2.758745183117235,27.738202007815733,0.0,0.3968253968253968,67.0,0.0,4.0,2.0,2.0,4.0,6.0,0.0,6.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,10.0,15.171599999999964,278.7869999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L6,1,7.154130042990767,7.154130042990767,0.06204622788098324,-0.7279341302636761,0.15723585028791454,20.509090909090908,718.9410000000001,672.573,718.355928712,272.0,0.0,0.20050499468530783,-0.47385018881359403,0.47385018881359403,0.20050499468530783,0.4727272727272727,0.8727272727272727,1.2727272727272727,16.525863178082666,9.7517757441376,2.545971826271068,-2.335924066024902,2.4986729425164165,-2.4503807290182924,6.0713295635169535,0.16189627178812913,3.9431105927823693,1.089734815221242,2299.5758516611854,37.26020881938892,32.050457895604104,32.050457895604104,26.773959831428137,19.786634610201666,19.786634610201666,16.465852433382945,16.465852433382945,12.140495708994749,12.140495708994749,9.74707375596482,9.74707375596482,-5.7399999999999975,6466669413598.725,33.800885826277536,13.230738741353798,6.086623336256307,324.1854166823831,9.473725907600098,29.70660490318931,0.0,11.795490688715223,0.0,0.0,0.0,9.984809465271338,0.0,0.0,143.58114733602022,108.30384109850769,12.841643245852019,0.0,9.473725907600098,11.795490688715223,0.0,0.0,15.399799934668117,77.66984972425905,0.0,189.09459042312542,0.0,22.253805966787983,0.0,0.0,0.0,0.0,24.003423464211828,35.157012399304136,33.10993926815928,67.71819657526588,143.4448849714268,0.0,22.253805966787983,0.0,43.18000000000001,5.41499046939678,0.0,0.0,24.291614433792525,12.841643245852019,24.63713393456724,77.88832088375794,0.0,0.0,161.15502430491793,19.458535372871438,14.308260085981534,0.0,11.225560788823497,0.0,16.90881499226195,1.5010977786176205,48.736226935118836,2.8843639593094994,8.685675459887076,0.0,0.2549019607843137,55.0,0.0,4.0,2.0,2.0,4.0,6.0,0.0,6.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,10.0,11.215279999999991,222.9349999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L7,1,7.192670635667085,7.192670635667085,0.067445572182953,-0.7349201946108515,0.15563363666532415,20.24561403508772,746.995,696.5949999999999,746.38722884,284.0,0.0,0.2005049946853258,-0.47385018881357294,0.47385018881357294,0.2005049946853258,0.49122807017543857,0.8771929824561403,1.263157894736842,16.525869335246362,9.751762900689869,2.546444098142245,-2.3359465098723935,2.502211178029245,-2.4503808031111407,6.071547294770897,0.1618965115621961,3.9493453283713174,1.0958880749023412,2391.445546429456,39.000695795395075,33.895757357224845,33.895757357224845,27.62900054128526,20.631934071822418,20.631934071822418,17.260510632121463,17.260510632121463,12.961862914040656,12.961862914040656,10.686995105244932,10.686995105244932,-5.7399999999999975,13977650814537.225,35.6586843602493,13.726392981315954,6.123560518823681,336.9153009111763,9.473725907600098,29.70660490318931,0.0,11.795490688715223,0.0,0.0,0.0,9.984809465271338,0.0,0.0,120.32151021570303,144.40512146467694,12.841643245852019,0.0,9.473725907600098,11.795490688715223,0.0,0.0,15.399799934668117,91.5173241236403,0.0,188.08875926959624,0.0,22.253805966787983,0.0,0.0,0.0,0.0,24.003423464211828,35.157012399304136,46.95741366754052,78.84509955865987,131.3121508345036,0.0,22.253805966787983,0.0,43.18000000000001,5.41499046939678,0.0,0.0,24.291614433792525,12.841643245852019,24.63713393456724,89.01522386715193,0.0,0.0,162.869764567376,19.458535372871438,14.385341271334168,0.0,11.293304094489436,0.0,19.80919787125377,1.504738540931654,44.47043786418608,2.867215943351699,13.253097747786525,0.0,0.2830188679245283,57.0,0.0,4.0,2.0,2.0,4.0,6.0,0.0,6.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,10.0,11.832119999999989,232.40899999999925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L8,1,6.753147002346762,6.753147002346762,0.002584566673290878,-0.5738814825746643,0.20948880270151696,22.0,735.069,672.573,734.481129224,288.0,0.0,0.19922215204190694,-0.4738821746402085,0.4738821746402085,0.19922215204190694,0.41818181818181815,0.7454545454545455,1.0545454545454545,16.52559794188357,9.785095537698407,2.501195213880818,-2.2619128016682017,2.4842847474298093,-2.358952772808944,6.055883140731201,0.16989652346120498,3.856459284855439,1.083098081962649,2036.197963928572,39.6202269067711,35.862741641334736,35.862741641334736,25.462662769079163,20.551053842782654,20.551053842782654,21.52929460391689,21.52929460391689,12.58035503508292,12.58035503508292,8.676009331486416,8.676009331486416,-4.179999999999999,941631620857.4401,37.72992417814994,12.409204920800331,6.759890439059039,330.4505336430144,9.473725907600098,29.70660490318931,11.795490688715223,0.0,0.0,0.0,0.0,9.984809465271338,0.0,0.0,143.74851708090355,114.40158831425553,12.841643245852019,0.0,9.473725907600098,11.795490688715223,0.0,0.0,15.399799934668117,155.72554035290042,0.0,117.30401675511533,0.0,22.253805966787983,0.0,0.0,0.0,0.0,24.003423464211828,43.97533103103923,5.41499046939678,153.52361438754062,82.78121428681068,0.0,22.253805966787983,0.0,43.18000000000001,5.41499046939678,0.0,0.0,45.95157631137964,0.0,24.63713393456724,66.76141790036395,0.0,0.0,169.72872561720808,19.458535372871438,13.506294004693524,0.0,10.67525293326839,0.0,15.388490332831012,1.48093402453029,28.188570357725446,1.7184608182219236,31.958664195396082,0.0,0.49019607843137253,55.0,0.0,4.0,2.0,2.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,8.0,12.725999999999981,229.8429999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L9,1,6.815647002346761,6.815647002346761,0.01569294340481453,-0.3238814825746641,0.20964001892992146,23.636363636363637,733.0530000000001,672.5730000000001,732.4654791600001,286.0,0.0,0.1998058173452536,-0.4738671108926975,0.4738671108926975,0.1998058173452536,0.45454545454545453,0.8,1.1090909090909091,16.526642435924547,9.785095537698387,2.612052234399362,-2.2615428945784153,2.568582841867993,-2.295576590440944,6.09092840915559,0.17917674858852944,3.3529328848367395,1.0080305615685992,2069.3281074549973,39.0344404691442,35.27695520370784,35.27695520370784,25.669769550265706,20.758160623969204,20.758160623969204,21.486401385103438,21.486401385103438,13.079796049730747,13.079796049730747,9.084079976827374,9.084079976827374,-4.179999999999999,1062491214426.3651,36.457935039108136,11.916923249667471,6.267786882534772,329.4447024894853,9.473725907600098,29.706604903189305,11.795490688715223,0.0,0.0,0.0,0.0,9.984809465271338,0.0,0.0,143.7485170809036,113.39575716072632,12.841643245852019,0.0,9.473725907600098,11.795490688715223,0.0,0.0,15.399799934668117,154.71970919937118,0.0,117.30401675511533,0.0,22.253805966787983,0.0,0.0,0.0,0.0,24.003423464211828,43.97533103103924,5.41499046939678,152.5177832340114,82.78121428681067,0.0,22.253805966787983,0.0,43.18,0.0,0.0,0.0,51.36656678077642,0.0,37.47877718041926,66.76141790036395,0.0,0.0,155.88125121782682,19.458535372871438,13.631294004693522,0.0,10.800252933268391,0.0,15.851639201959319,1.703156246752512,28.419216931169636,3.8137216675381627,27.697385681285127,0.0,0.49019607843137253,55.0,0.0,4.0,3.0,2.0,5.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,1.0,0.0,1.0,9.0,12.479999999999984,227.7289999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L10,1,6.671472730065596,6.671472730065596,0.05176287600748508,-0.28617487100441674,0.24934140882643313,25.209302325581394,564.7290000000003,528.4410000000004,564.277678392,214.0,0.0,0.1998058173452536,-0.4738671108926975,0.4738671108926975,0.1998058173452536,0.5348837209302325,0.9534883720930233,1.3488372093023255,16.52660625905655,9.965173146771948,2.611233302637315,-2.1808600229242874,2.566105670500078,-2.295575632433869,6.090759682003458,0.1791785100552885,3.228467959753328,1.013596818416487,1737.2650535233604,29.03444046914421,25.276955203707846,25.276955203707846,20.82447008864496,15.758160623969218,15.758160623969218,13.641101923482694,13.641101923482694,10.193044703782626,10.193044703782626,8.046206420835352,8.046206420835352,-4.179999999999999,10343883114.759237,25.330033335881865,8.919110257178682,3.9512671684925493,253.06539711672607,9.473725907600098,29.706604903189305,11.795490688715223,0.0,0.0,0.0,0.0,9.984809465271338,0.0,0.0,82.9174766514041,97.1769381151137,12.841643245852019,0.0,9.473725907600098,11.795490688715223,0.0,0.0,15.399799934668117,77.66984972425905,0.0,117.30401675511533,0.0,22.253805966787983,0.0,0.0,0.0,0.0,24.003423464211828,22.315369153452117,33.10993926815928,69.4329368377239,82.78121428681067,0.0,22.253805966787983,0.0,43.18,0.0,0.0,0.0,29.706604903189305,0.0,37.47877718041926,66.76141790036395,0.0,0.0,100.49135362030184,19.458535372871438,13.34294546013119,0.0,10.564239927145493,0.0,15.269177943316842,1.7090494037121027,27.422017121445702,3.939340443730428,8.669896367184906,0.0,0.3333333333333333,43.0,0.0,4.0,3.0,2.0,5.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,1.0,0.0,1.0,9.0,8.523680000000004,171.8769999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L11,1,6.6108611684711285,6.6108611684711285,0.06184871507684098,-0.2747148159079982,0.2905083271026798,26.46153846153846,508.62100000000027,480.39700000000033,508.215078136,190.0,0.0,0.19980581734525357,-0.4738671108926975,0.4738671108926975,0.19980581734525357,0.5384615384615384,1.0,1.435897435897436,16.526594971442368,9.98974744922064,2.6110442407458296,-2.180754763073109,2.565456706773668,-2.2955753161886463,6.090660775098593,0.17917920266385984,3.252930200569131,1.022149639130208,1563.751978781001,25.553466517131895,21.586356280466354,21.586356280466354,19.249082688175555,14.115426213877381,14.115426213877381,11.620375981319013,11.620375981319013,9.297247167505843,9.297247167505843,7.024720234949345,7.024720234949345,-4.179999999999999,2772178761.4300046,21.72114163085822,7.920182443839533,3.23905822428788,227.6056286591396,9.473725907600098,29.70660490318931,11.795490688715223,0.0,0.0,0.0,0.0,9.984809465271338,0.0,0.0,84.92913895846256,69.4819893163512,12.841643245852019,0.0,9.473725907600098,11.795490688715223,0.0,0.0,15.399799934668117,49.974900925496556,0.0,119.3156790621738,0.0,22.253805966787983,0.0,0.0,0.0,0.0,24.003423464211828,22.315369153452117,5.41499046939678,47.17913087093592,107.04668256065715,0.0,22.253805966787983,0.0,43.18000000000001,0.0,0.0,0.0,29.70660490318931,0.0,37.47877718041926,44.507611933575966,0.0,0.0,97.06187309538579,19.458535372871438,13.221722336942257,0.0,10.461095979450263,0.0,10.001117998638371,1.7041618072083444,34.89307365806182,3.9688282196989455,0.0,0.0,0.2571428571428571,39.0,0.0,4.0,3.0,2.0,5.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,1.0,0.0,1.0,9.0,7.290000000000006,152.92899999999963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
