iter	Passed	Remaining
0	3	3800
1	7	3571
2	11	3906
3	14	3633
4	17	3427
5	26	4405
6	30	4260
7	33	4095
8	36	3994
9	39	3913
10	42	3797
11	45	3705
12	48	3648
13	51	3618
14	54	3576
15	58	3588
16	60	3521
17	63	3459
18	65	3393
19	69	3381
20	71	3354
21	74	3308
22	77	3297
23	80	3255
24	82	3222
25	85	3211
26	88	3188
27	91	3169
28	93	3138
29	96	3122
30	98	3093
31	101	3073
32	104	3061
33	107	3043
34	109	3023
35	112	3002
36	115	2997
37	117	2978
38	120	2967
39	122	2950
40	126	2951
41	128	2932
42	131	2920
43	133	2908
44	136	2898
45	139	2892
46	142	2880
47	145	2880
48	147	2864
49	149	2848
50	153	2847
51	156	2852
52	158	2838
53	161	2829
54	164	2822
55	166	2811
56	169	2803
57	172	2801
58	175	2791
59	177	2783
60	180	2772
61	183	2770
62	185	2759
63	188	2756
64	191	2760
65	194	2755
66	197	2747
67	200	2741
68	203	2747
69	206	2744
70	210	2748
71	213	2748
72	216	2748
73	219	2748
74	223	2753
75	227	2768
76	231	2776
77	234	2773
78	237	2768
79	240	2770
80	243	2764
81	246	2759
82	250	2772
83	254	2773
84	256	2765
85	260	2769
86	263	2768
87	267	2767
88	271	2774
89	273	2767
90	276	2760
91	279	2760
92	282	2756
93	285	2753
94	288	2752
95	291	2746
96	293	2732
97	296	2727
98	299	2728
99	302	2725
100	305	2720
101	308	2717
102	312	2720
103	318	2746
104	324	2764
105	332	2805
106	338	2828
107	344	2845
108	349	2855
109	353	2857
110	357	2860
111	361	2866
112	365	2868
113	369	2872
114	373	2873
115	378	2880
116	381	2882
117	388	2906
118	399	2955
119	406	2978
120	414	3009
121	437	3147
122	441	3149
123	446	3155
124	453	3171
125	459	3189
126	466	3208
127	471	3208
128	476	3214
129	482	3226
130	486	3229
131	492	3240
132	496	3237
133	501	3239
134	506	3242
135	512	3256
136	516	3251
137	519	3246
138	524	3246
139	528	3244
140	538	3278
141	543	3283
142	546	3278
143	552	3284
144	562	3314
145	567	3319
146	572	3320
147	576	3318
148	580	3314
149	584	3310
150	590	3317
151	595	3324
152	601	3331
153	606	3330
154	613	3342
155	618	3344
156	624	3351
157	628	3351
158	633	3350
159	638	3352
160	643	3353
161	647	3351
162	651	3347
163	655	3342
164	660	3343
165	664	3338
166	671	3349
167	675	3346
168	680	3343
169	684	3339
170	688	3337
171	691	3330
172	695	3325
173	700	3324
174	704	3323
175	708	3318
176	713	3316
177	717	3311
178	721	3311
179	726	3311
180	730	3307
181	735	3303
182	741	3311
183	746	3311
184	752	3317
185	757	3315
186	761	3312
187	766	3309
188	771	3309
189	775	3304
190	778	3298
191	782	3292
192	785	3286
193	788	3276
194	792	3269
195	795	3261
196	798	3256
197	803	3255
198	808	3253
199	813	3253
200	817	3251
201	822	3249
202	826	3244
203	833	3253
204	845	3277
205	853	3288
206	856	3282
207	861	3279
208	866	3279
209	873	3286
210	878	3283
211	883	3284
212	887	3278
213	891	3275
214	895	3270
215	900	3268
216	904	3264
217	911	3270
218	915	3266
219	923	3275
220	929	3277
221	934	3274
222	952	3318
223	955	3311
224	959	3305
225	962	3296
226	965	3286
227	969	3281
228	972	3273
229	975	3266
230	980	3263
231	983	3254
232	985	3245
233	989	3238
234	992	3229
235	994	3220
236	998	3213
237	1000	3204
238	1003	3195
239	1006	3187
240	1009	3180
241	1013	3173
242	1016	3165
243	1018	3156
244	1021	3146
245	1023	3137
246	1027	3131
247	1030	3125
248	1033	3118
249	1037	3111
250	1039	3101
251	1042	3093
252	1046	3089
253	1049	3082
254	1052	3074
255	1055	3067
256	1059	3064
257	1062	3056
258	1067	3052
259	1069	3044
260	1072	3037
261	1075	3030
262	1078	3021
263	1080	3013
264	1083	3005
265	1086	2997
266	1089	2990
267	1092	2982
268	1094	2975
269	1097	2967
270	1099	2957
271	1102	2950
272	1105	2943
273	1108	2936
274	1110	2928
275	1113	2920
276	1115	2912
277	1118	2905
278	1121	2897
279	1123	2889
280	1126	2881
281	1128	2872
282	1130	2864
283	1134	2860
284	1137	2853
285	1139	2845
286	1142	2837
287	1144	2829
288	1147	2823
289	1150	2817
290	1152	2809
291	1155	2800
292	1157	2792
293	1160	2786
294	1163	2780
295	1166	2773
296	1168	2766
297	1171	2759
298	1174	2752
299	1176	2745
300	1179	2739
301	1182	2732
302	1184	2724
303	1186	2717
304	1189	2710
305	1192	2705
306	1195	2698
307	1198	2692
308	1201	2686
309	1203	2679
310	1206	2672
311	1209	2667
312	1212	2661
313	1215	2654
314	1218	2649
315	1220	2642
316	1224	2637
317	1227	2631
318	1229	2625
319	1232	2618
320	1235	2612
321	1238	2607
322	1240	2601
323	1243	2594
324	1246	2589
325	1249	2582
326	1251	2576
327	1254	2569
328	1256	2563
329	1259	2556
330	1261	2549
331	1264	2543
332	1266	2537
333	1269	2530
334	1271	2523
335	1274	2517
336	1277	2512
337	1280	2507
338	1282	2501
339	1298	2519
340	1300	2513
341	1303	2507
342	1306	2502
343	1309	2496
344	1311	2490
345	1314	2485
346	1317	2478
347	1319	2472
348	1322	2466
349	1325	2461
350	1327	2455
351	1330	2449
352	1333	2444
353	1336	2438
354	1338	2431
355	1340	2425
356	1344	2421
357	1346	2415
358	1349	2408
359	1351	2403
360	1354	2397
361	1356	2391
362	1359	2385
363	1362	2380
364	1364	2374
365	1367	2368
366	1369	2362
367	1372	2357
368	1375	2351
369	1377	2345
370	1380	2339
371	1383	2334
372	1385	2329
373	1388	2324
374	1391	2319
375	1394	2313
376	1396	2307
377	1398	2301
378	1401	2297
379	1405	2292
380	1424	2314
381	1433	2318
382	1440	2321
383	1443	2315
384	1445	2309
385	1448	2303
386	1450	2297
387	1453	2291
388	1455	2286
389	1458	2281
390	1461	2275
391	1463	2270
392	1466	2264
393	1469	2259
394	1471	2253
395	1473	2247
396	1476	2242
397	1478	2236
398	1481	2230
399	1483	2225
400	1485	2219
401	1488	2213
402	1490	2208
403	1493	2203
404	1496	2198
405	1498	2192
406	1501	2187
407	1503	2181
408	1506	2176
409	1508	2171
410	1511	2165
411	1513	2160
412	1535	2182
413	1538	2178
414	1545	2178
415	1548	2173
416	1550	2167
417	1552	2161
418	1555	2157
419	1558	2152
420	1560	2146
421	1563	2140
422	1565	2135
423	1568	2130
424	1570	2125
425	1573	2119
426	1576	2114
427	1578	2109
428	1580	2104
429	1584	2099
430	1586	2094
431	1588	2089
432	1591	2083
433	1595	2080
434	1598	2076
435	1601	2071
436	1604	2067
437	1607	2062
438	1609	2056
439	1611	2051
440	1615	2048
441	1618	2042
442	1620	2037
443	1622	2032
444	1625	2026
445	1627	2021
446	1629	2015
447	1632	2011
448	1634	2005
449	1636	2000
450	1638	1994
451	1640	1989
