SPS_L,NumRadicalElectrons_L,MaxPartialCharge_L,PEOE_VSA1_L,PEOE_VSA10_L,PEOE_VSA11_L,PEOE_VSA14_L,PEOE_VSA4_L,SlogP_VSA1_L,SlogP_VSA12_L,TPSA_L,EState_VSA9_L,VSA_EState2_L,VSA_EState4_L,NOCount_L,NumAliphaticHeterocycles_L,NumHAcceptors_L,fr_Imine_L,fr_allylic_oxid_L,fr_bicyclic_L,Ligand ID,ln(dr),ODI_HOMO_1_Free,ODI_HOMO_Free,ODI_LUMO_Free,ODI_LUMO_Add1_Free,ODI_Mean_Free,ODI_Std_Free,AtomNum_Free,Weight_Free,HOMO_Free,HOMO_number_Free,LUMO_Free,HOMO_LUMO_Gap_Free,Farthest_Distance_Free,Mol_Radius_Free,Mol_Size_Short_Free,Mol_Size_2_Free,Mol_Size_L_Free,Length_Ratio_Free,Len_Div_Diameter_Free,MPP_Free,SDP_Free,Dipole_Moment_Free,Quadrupole_Moment_Free,Octopole_Moment_Free,Volume_Free,Density_Free,ESPmin_Free,ESPmax_Free,Overall_Surface_Area_Free,Pos_Surface_Area_Free,Neg_Surface_Area_Free,Overall_Average_Free,Pos_Average_Free,Neg_Average_Free,Overall_Variance_Free,Nu_Free,Pi_Free,MPI_Free,Nonpolar_Area_Free,Polar_Area_Free,ALIEmin_Free,ALIEmax_Free,ALIE_Ave_Free,ALIE_Var_Free,LEAmin_Free,LEAmax_Free,LEA_Ave_Free,LEA_Var_Free,ODI_HOMO_1_Res,ODI_HOMO_Res,ODI_LUMO_Res,ODI_LUMO_Add1_Res,ODI_Mean_Res,ODI_Std_Res,AtomNum_Res,Weight_Res,HOMO_Res,HOMO_number_Res,LUMO_Res,HOMO_LUMO_Gap_Res,Farthest_Distance_Res,Mol_Radius_Res,Mol_Size_Short_Res,Mol_Size_2_Res,Mol_Size_L_Res,Length_Ratio_Res,Len_Div_Diameter_Res,MPP_Res,SDP_Res,Dipole_Moment_Res,Quadrupole_Moment_Res,Octopole_Moment_Res,Volume_Res,Density_Res,ESPmin_Res,ESPmax_Res,Overall_Surface_Area_Res,Pos_Surface_Area_Res,Neg_Surface_Area_Res,Overall_Average_Res,Pos_Average_Res,Neg_Average_Res,Overall_Variance_Res,Nu_Res,Pi_Res,MPI_Res,Nonpolar_Area_Res,Polar_Area_Res,ALIEmin_Res,ALIEmax_Res,ALIE_Ave_Res,ALIE_Var_Res,LEAmin_Res,LEAmax_Res,LEA_Ave_Res,LEA_Var_Res,ODI_HOMO_1_CoL2,ODI_HOMO_CoL2,ODI_LUMO_CoL2,ODI_LUMO_Add1_CoL2,ODI_Mean_CoL2,ODI_Std_CoL2,AtomNum_CoL2,Weight_CoL2,HOMO_CoL2,HOMO_number_CoL2,LUMO_CoL2,HOMO_LUMO_Gap_CoL2,Farthest_Distance_CoL2,Mol_Radius_CoL2,Mol_Size_Short_CoL2,Mol_Size_2_CoL2,Mol_Size_L_CoL2,Length_Ratio_CoL2,Len_Div_Diameter_CoL2,MPP_CoL2,SDP_CoL2,Dipole_Moment_CoL2,Quadrupole_Moment_CoL2,Octopole_Moment_CoL2,Volume_CoL2,Density_CoL2,ESPmin_CoL2,ESPmax_CoL2,Overall_Surface_Area_CoL2,Pos_Surface_Area_CoL2,Neg_Surface_Area_CoL2,Overall_Average_CoL2,Pos_Average_CoL2,Neg_Average_CoL2,Overall_Variance_CoL2,Nu_CoL2,Pi_CoL2,MPI_CoL2,Nonpolar_Area_CoL2,Polar_Area_CoL2,ALIEmin_CoL2,ALIEmax_CoL2,ALIE_Ave_CoL2,ALIE_Var_CoL2,LEAmin_CoL2,LEAmax_CoL2,LEA_Ave_CoL2,LEA_Var_CoL2,Surface Area_CoL2,Surface Volume_CoL2,P_int_CoL2,Vb_R2.5_CoL2,Vb_R3.0_CoL2,Vb_R3.5_CoL2,Vb_R4.0_CoL2,Vb_R4.5_CoL2,Surface Area_Free,Surface Volume_Free,P_int_Free,Surface Area_Res,Surface Volume_Res,P_int_Res,N_Mulliken_CoL2,N_NPA_CoL2,O_Mulliken_CoL2,O_NPA_CoL2,Co_Mulliken_CoL2,Co_NPA_CoL2,N_Mulliken_Free,N_NPA_Free,O_Mulliken_Free,O_NPA_Free,N_Mulliken_Free.1,N_NPA_Free.1,O_Mulliken_Free.1,O_NPA_Free.1
33.18518519,0,0.199805815,9.473725908,29.7066049,11.79549069,0,0,0,0,43.18,19.45853537,10.08396416,5.209909925,4,2,4,2,0,6,L1,1.9,6.23,5.98,4.81,4.91,5.4825,0.629737048,47,356.41796,-0.234247,94,-0.01044,0.223807,37,6.092,8.694,10.754,10.984,0.360935857,0.901510177,1.555786,6.49523,2.66257,12.096415,112.2821,2885.20185,1.3843,-45.21072,20.11405,1303.71385,681.43225,622.2816,-0.00417186,0.01365018,-0.02368796,0.0004461,0.1272981,0.01895843,0.50181483,191.3,173.78,8.32635,14.5875,0.41133898,0.00159316,-40.81184,-13.19363,-0.8150825,0.047091,5.74,6.1,8.76,8.83,7.3575,1.44333598,47,356.41796,-0.230677,94,-0.0042,0.226477,38,8.156,8.118,9.171,15.634,0.474865595,0.958435508,1.349605,5.789535,2.90311,15.611553,213.1829,2856.26081,1.3983,-80.68189,18.35631,1372.15283,699.06505,673.08778,-0.00544842,0.01337444,-0.02499772,0.00067749,0.07514468,0.01963931,0.51908587,208.47,175.78,8.10193,14.77947,0.41081811,0.00175881,-40.65088,-13.19581,-0.8147486,0.047345,25.38,25.89,5.53,4.98,15.445,10.1934501,50,417.36703,-0.22562,567,-0.037755,0.187865,38,8.156,8.119,9.248,15.643,0.473886701,0.958987249,1.338913,5.80196,12.316146,38.089882,162.6755,3169.34501,1.4757,-73.06088,30.18673,1437.23214,834.59282,602.63932,-0.00228204,0.02612412,-0.04162162,0.00131719,0.10341862,0.03302714,0.88769815,98.94,303.52,6.33778,15.25474,0.40149448,0.00466717,-40.26798,-11.61956,-0.7509282,0.038454,457.7,473.4,20.8,0.433650215,0.435013781,0.428811032,0.413502421,0.392942428,433.3,434.3,21.6,439.7,434.2,19.9,-0.479582,-0.56545,-0.4911505,-0.538935,-0.008311,0.50196,-0.427291,-0.53814,-0.4876665,-0.550555,-0.4412525,-0.540585,-0.5027015,-0.56367
25.20930233,0,0.199805817,9.473725908,29.7066049,11.79549069,0,0,0,0,43.18,19.45853537,10.56423993,15.26917794,4,2,4,2,0,6,L10,1.86,8.16,8.1,7.59,7.61,7.865,0.265941723,79,564.71678,-0.213779,150,-0.023546,0.190233,63,10.788,8.962,12.896,21.281,0.493312316,0.986327401,1.416719,6.557155,2.078342,17.724023,667.421,4759.14158,1.3297,-50.49237,19.97379,2238.55994,1186.24204,1052.3179,-0.00435634,0.01054738,-0.0211568,0.00032075,0.12087459,0.01612137,0.42272155,394.39,232.47,8.29672,14.71884,0.405865,0.00136949,-41.3014,-13.27209,-0.8022494,0.050737,7.82,7.72,7.67,7.7,7.7275,0.056291651,79,564.71678,-0.212304,150,-0.023628,0.188676,65,10.241,10.495,13.976,19.927,0.448826524,0.972903037,1.924258,8.020659,2.133588,9.42569,581.7862,4747.83128,1.3328,-80.6715,18.26546,2228.21647,1119.14586,1109.07061,-0.00594234,0.01071877,-0.02275481,0.0005078,0.08815533,0.01741983,0.45469072,384.77,239.2,8.11003,14.73561,0.40576946,0.00145372,-40.60705,-13.25397,-0.8029381,0.049979,8.13,24.97,5.58,5.48,11.04,8.112308549,82,625.66586,-0.21278,879,-0.037941,0.174839,65,10.241,10.494,13.976,19.928,0.448849047,0.97295186,1.896311,8.030237,11.419366,24.479012,618.1806,5060.26809,1.3855,-72.51299,29.4222,2273.124,1015.42862,1257.69539,-0.00780714,0.02193852,-0.03182297,0.00096261,0.15826366,0.0275218,0.74579546,236.51,400.03,6.32461,15.22816,0.39960635,0.00313475,-40.22333,-11.85213,-0.7659563,0.042575,726.2,757.1,21.5,0.432754916,0.4349486,0.431909243,0.424221029,0.414382707,715.7,719.2,20.7,714.1,717.2,20.7,-0.4773225,-0.566055,-0.49144,-0.539495,-0.000521,0.51412,-0.4392635,-0.546135,-0.494148,-0.55261,-0.439962,-0.539775,-0.502824,-0.56405
23.56097561,0,0.200504992,9.473725908,41.34104659,0,0,0,0,0,43.18,19.45853537,10.51920477,5.826932003,4,2,4,2,0,6,L100,0.99,3.8,5.18,6.91,8.83,6.18,1.885457504,69,546.60712,-0.228287,143,-0.011214,0.217072,68,7.88,9.261,13.638,13.648,0.373436944,0.865989848,1.820613,6.848044,2.103306,18.386865,402.1722,4235.06767,1.4463,-45.16949,22.76081,1835.31253,945.43632,889.87621,-0.00145791,0.01503086,-0.01897616,0.00025619,0.19248701,0.01701471,0.46106403,262.45,251.49,8.31085,15.74086,0.41450844,0.00214669,-42.73978,-13.19516,-0.8517395,0.056605,3.58,5.41,4.71,3.6,4.325,0.775580428,69,546.60712,-0.227255,143,-0.007591,0.219665,68,8.28,8.667,11.184,16.496,0.453847635,0.996135266,1.550513,6.265152,3.242719,38.391684,193.3215,4210.2255,1.4548,-76.89192,22.62095,1734.05753,914.00825,820.04928,-0.00332091,0.01622711,-0.02510867,0.0005776,0.12637839,0.02074404,0.55585421,214.76,270.82,8.16572,15.69359,0.41590844,0.00209969,-42.89178,-13.22212,-0.8556314,0.056808,5.71,26.2,5.16,4.03,10.275,9.214229485,72,607.5562,-0.225487,828,-0.039128,0.186359,68,8.28,8.69,11.179,16.495,0.453607964,0.996074879,1.62367,6.285239,12.539299,58.211979,130.0883,4535.14341,1.5012,-73.6624,33.85345,1783.31813,968.8716,814.44652,-0.00228933,0.0269559,-0.03707967,0.00118508,0.14317251,0.03181903,0.85932056,146.41,352.97,6.28955,15.74123,0.40716599,0.00442056,-42.92689,-11.86228,-0.8044938,0.053999,593.6,673.5,23.8,0.4282947,0.442640048,0.464941297,0.48296971,0.490412795,600.3,637.6,22.2,574,633.6,22.9,-0.4648815,-0.553735,-0.493412,-0.541785,-0.02179,0.52499,-0.440293,-0.547285,-0.492236,-0.548795,-0.420415,-0.515505,-0.5053385,-0.567855
21.83673469,0,0.199782112,9.473725908,29.7066049,11.79549069,0,0,0,0,43.18,19.45853537,10.80365169,9.742917538,4,2,4,2,0,8,L102,2.24,6.95,6.72,6.19,6.44,6.575,0.28640007,87,638.79708,-0.205837,169,-0.039812,0.166025,82,10.343,9.903,13.601,20.663,0.467837979,0.998888137,1.717139,7.526084,2.774111,19.167041,441.2638,5282.83838,1.355,-42.69121,23.11,2255.52693,1077.08583,1178.4411,-0.00240079,0.01418797,-0.01756279,0.00025074,0.20988599,0.01595489,0.43405438,332.32,299.29,8.46622,14.43368,0.40405172,0.00144853,-42.04899,-13.11162,-0.8160322,0.043446,7.7,7.41,7.71,7.91,7.6825,0.178237903,87,638.79708,-0.204702,169,-0.039356,0.165346,81,10.555,11.098,12.88,20.635,0.462533342,0.977498816,2.111947,8.793966,2.500323,15.723852,600.593,5283.93086,1.3547,-77.53256,19.5896,2361.08098,1091.01314,1270.06784,-0.0053851,0.01224995,-0.02053396,0.00038849,0.1275025,0.01676224,0.4545953,365.6,295.57,8.12765,14.64703,0.40417434,0.00150406,-41.88227,-13.13409,-0.8109239,0.042695,7.7,25.22,7.38,7.61,11.9775,7.646451383,90,699.74616,-0.204203,986,-0.040072,0.164131,81,10.555,11.11,12.862,20.636,0.462607604,0.977546187,2.085604,8.807907,11.708232,25.646323,613.6037,5601.11829,1.3999,-73.34786,29.84069,2410.45154,1217.10579,1193.34575,-0.00563769,0.01987641,-0.03165978,0.00087382,0.1430134,0.02611822,0.69960515,254.22,420.77,6.32555,15.15193,0.39792337,0.00304167,-41.49972,-11.78,-0.7806025,0.039872,782.9,830.9,23,0.426992447,0.434389899,0.442287085,0.445871609,0.44374403,739.9,789.2,23.3,767,791.2,22.2,-0.472627,-0.56609,-0.4842875,-0.5356,-0.007335,0.52043,-0.4358405,-0.547525,-0.4903745,-0.556015,-0.43499,-0.533815,-0.496407,-0.56161
20,0,0.200504995,9.473725908,29.7066049,0,0,0,0,0,43.18,19.45853537,11.30497255,11.68337868,4,2,4,2,0,8,L103,1.28,7.46,7.49,7.58,7.65,7.545,0.075,101,762.9362,-0.204239,201,-0.040385,0.163855,98,11.656,9.232,12.637,23.01,0.512711959,0.987045299,1.553611,6.876491,4.019946,31.41841,608.1332,6195.0771,1.38,-44.38431,23.45058,2501.17156,1151.34453,1349.82703,-0.00431529,0.01460436,-0.02045295,0.00027169,0.2098801,0.01769627,0.4832935,339.3,361.1,8.53935,14.85719,0.40310682,0.00159158,-41.98665,-13.11414,-0.8311742,0.043162,7.34,7.35,7.43,7.42,7.385,0.040311289,101,762.9362,-0.204183,201,-0.039592,0.164591,95,10.734,11.289,12.938,21.175,0.466389146,0.986351779,2.156807,8.939597,1.708619,20.344364,770.0371,6200.43577,1.3788,-79.90683,20.73395,2500.54078,1212.58718,1287.9536,-0.00511429,0.01356778,-0.02270317,0.00048803,0.11291359,0.01852411,0.49723757,364.16,336.06,8.14757,14.75562,0.40223991,0.00162065,-42.48263,-13.1154,-0.8289881,0.042258,7.18,25.74,6.51,6.54,11.4925,8.230149983,104,823.88528,-0.203791,1166,-0.039708,0.164083,95,10.734,11.291,12.932,21.174,0.466418486,0.986305198,2.130237,8.9473,10.732728,31.448868,758.3893,6528.48001,1.4142,-75.96512,31.36612,2540.62536,1247.60805,1293.01731,-0.0066184,0.02025872,-0.03255163,0.00101986,0.14313464,0.02692373,0.72151079,284.91,426.54,6.2239,15.23726,0.39562197,0.00307916,-42.14288,-11.96209,-0.7949537,0.038975,840.7,962.7,25,0.429727178,0.443561904,0.466606877,0.489393892,0.506021514,825.9,926,24.2,822.5,922.7,24.2,-0.4642135,-0.55438,-0.4933385,-0.541825,-0.028787,0.52843,-0.426035,-0.53618,-0.5017255,-0.559595,-0.4210435,-0.5163,-0.504883,-0.567515
19.7704918,0,0.200504995,9.473725908,29.7066049,0,0,0,0,0,43.18,19.45853537,11.36922652,14.36008528,4,2,4,2,0,8,L104,1.67,8.37,7.75,7.28,7.14,7.635,0.480754615,107,790.98944,-0.205571,209,-0.036413,0.169157,99,10.224,10.263,16.842,18.781,0.409296953,0.918476135,1.896362,7.807236,3.620604,23.511782,610.4042,6528.9639,1.3576,-39.21399,24.37504,2612.00355,1318.77071,1293.23284,-0.00201462,0.01381459,-0.01815641,0.0002228,0.22391076,0.01604753,0.43441007,400.41,331.03,8.60892,14.53378,0.40386951,0.00143415,-38.42961,-13.10452,-0.8107045,0.04032,8.51,8.34,7.94,8.34,8.2825,0.209568008,107,790.98944,-0.204787,209,-0.03601,0.168778,99,10.296,11.526,17.43,19.29,0.399825892,0.936771562,2.051342,9.26796,2.788308,32.062328,481.2517,6503.80763,1.3629,-73.78261,20.73426,2724.4954,1298.22459,1426.27081,-0.00400297,0.01237215,-0.01890798,0.00033043,0.14402693,0.01591797,0.42976714,447.54,315.4,8.0511,14.70674,0.40347218,0.00150118,-41.91426,-13.10149,-0.8110331,0.041859,8.29,23.82,7.6,8.01,11.93,6.869079269,110,851.93851,-0.203299,1210,-0.042458,0.160841,99,10.296,11.493,17.451,19.304,0.400099486,0.937451437,2.034716,9.246926,11.815419,44.908966,528.3567,6823.15739,1.3992,-73.40256,30.51242,2723.77875,1397.59771,1326.18104,-0.00388502,0.01924858,-0.0282644,0.00084594,0.15667139,0.02396345,0.64323067,334.07,428.66,6.3814,15.15713,0.39917236,0.00261002,-41.40554,-12.19479,-0.7880979,0.038306,906.4,1013.1,24.4,0.427073838,0.443999553,0.467119363,0.481736081,0.486241968,876.1,968.2,24.8,896,975.1,23.8,-0.4609925,-0.570965,-0.4766815,-0.533005,0.001851,0.52683,-0.4255865,-0.543425,-0.4962145,-0.560325,-0.426373,-0.535035,-0.488791,-0.559
25.51351351,0,0.200150776,9.473725908,17.49867213,12.20793278,0,0,0,0,43.18,19.45853537,10.44805493,4.169588303,4,2,4,2,0,0,L105,1.45,4.7,4.5,7.08,7.52,5.95,1.36077184,65,484.58884,-0.232374,128,-0.008836,0.223539,57,9.29,8.696,9.355,18.24,0.502603951,0.981700753,1.628946,6.539419,2.14359,23.500783,405.0546,4030.3045,1.3474,-41.00338,22.78705,1814.62806,940.01034,874.61771,-0.00309107,0.01389121,-0.02134307,0.00027755,0.18404297,0.01773372,0.47573305,262.53,245.62,8.522,14.3181,0.40766071,0.00162021,-41.92678,-13.11506,-0.8079545,0.043324,5.91,6.8,7.27,8.19,7.0425,0.823084898,65,484.58884,-0.229145,128,-0.008024,0.22112,64,9.26,8.616,9.889,18.511,0.500081046,0.999514039,1.461934,6.091169,2.622544,27.379279,252.7041,4014.57173,1.3526,-81.34503,21.89434,1812.00529,950.72661,861.27868,-0.00474058,0.01338377,-0.02474723,0.00057932,0.09387735,0.01937122,0.51116663,271.09,236.32,8.222,14.04378,0.40750194,0.00171161,-41.51223,-13.12236,-0.8038757,0.041654,19.42,26.52,5.6,5.86,14.35,8.978535515,68,545.53792,-0.225005,757,-0.03958,0.185425,64,9.26,8.635,9.857,18.512,0.500270241,0.999568035,1.458379,6.113141,12.055654,54.754632,325.0096,4335.47723,1.41,-81.40041,32.31643,1893.51898,1128.22352,765.29546,-0.00322694,0.02223521,-0.04076406,0.00164654,0.09422713,0.0304591,0.80882944,199,331.24,6.29956,14.39007,0.39969058,0.00404308,-40.9794,-11.48828,-0.7466415,0.034926,611.6,640.8,22.2,0.43236424,0.435274508,0.4314317,0.423871889,0.414059786,590.4,603.3,21.6,586.7,600.6,21.6,-0.4921065,-0.56568,-0.49488,-0.535475,0.003584,0.51485,-0.446916,-0.55001,-0.495989,-0.5442,-0.444676,-0.536625,-0.5063805,-0.55896
23.53488372,0,0.200850324,9.473725908,17.49867213,12.20793278,0,0,0,0,43.18,19.45853537,10.85413202,6.430035834,4,2,4,2,0,1,L107,0.66,4.15,9.78,3.67,3.54,5.285,2.605115161,75,560.68502,-0.229966,148,-0.014247,0.215718,67,9.108,7.314,13.929,17.989,0.458528752,0.987538428,1.094369,4.89066,3.324987,28.468478,173.7913,4632.29318,1.3563,-44.70078,18.5623,1958.75423,1008.66821,950.08603,-0.00216635,0.01251784,-0.01775597,0.00024535,0.1656606,0.01520875,0.40976462,326.53,221.98,8.62228,13.67106,0.40539253,0.0015161,-41.02774,-13.10282,-0.8002677,0.037833,7.88,4.18,6.08,6.28,6.105,1.312202347,75,560.68502,-0.229379,148,-0.013757,0.215622,74,8.928,12.997,13.754,17.388,0.393937334,0.973790323,2.449316,10.647377,1.438177,23.790222,218.3899,4653.55928,1.3501,-80.53027,16.95877,2129.54165,1094.68908,1034.85257,-0.00479285,0.01213688,-0.02270148,0.00047948,0.0762451,0.01774639,0.46996114,345.02,251.31,8.22286,13.70245,0.4031888,0.00169648,-42.55801,-13.09243,-0.8178151,0.0422,21.52,27.38,5.75,6.31,15.24,9.442232257,78,621.6341,-0.225801,869,-0.041718,0.184083,74,8.928,12.93,13.75,17.372,0.394352129,0.972894265,2.416918,10.731944,10.860458,53.676059,406.6986,4984.42008,1.3975,-78.43205,27.1136,2219.08683,1284.14837,934.93846,-0.00341739,0.01851241,-0.03353822,0.00144481,0.07087682,0.02553726,0.67601326,287.16,334.25,6.31836,14.25345,0.39590822,0.00356154,-42.09829,-11.72988,-0.7646681,0.037679,702.6,734,22.4,0.418918479,0.421130066,0.426050596,0.434299547,0.440178339,653,692.9,23,678.5,697.1,21.8,-0.469864,-0.56191,-0.474524,-0.52911,-0.012306,0.51414,-0.4414805,-0.54473,-0.485934,-0.549205,-0.4328835,-0.52788,-0.487362,-0.55398
21.30769231,0,0.200945584,9.473725908,17.49867213,11.20210162,0,0,0,0,43.18,19.45853537,11.459435,4.048110334,4,2,4,2,0,0,L108,0.36,6.94,6.15,5.75,5.39,6.0575,0.576080507,94,678.86105,-0.23169,180,-0.017105,0.214585,86,9.149,10.512,13.312,17.449,0.422770334,0.953601487,1.841677,8.368328,2.599196,16.57993,393.0983,5658.24053,1.3445,-53.82272,18.3976,2314.81635,1144.84287,1169.97348,-0.00451619,0.01120524,-0.01989994,0.00029684,0.1162564,0.0159085,0.4244918,401.55,246.66,8.44952,13.69885,0.40425907,0.0015075,-39.66946,-13.09761,-0.7933734,0.033763,3.75,7.76,6.32,4.94,5.6925,1.500656107,94,678.86105,-0.226259,180,-0.01628,0.209979,87,9.378,10.239,14.102,18.682,0.434232852,0.996054596,1.793897,7.902293,2.127845,27.081373,380.8318,5665.14865,1.3428,-78.39246,19.9911,2328.10463,1193.40609,1134.69854,-0.00458753,0.01099479,-0.02097606,0.00042325,0.09391675,0.01638751,0.43156102,400.19,251.74,8.08428,13.7051,0.40380599,0.00159472,-39.10222,-13.10188,-0.7967035,0.035013,25.23,26.84,5.6,4.49,15.54,10.51774928,97,739.81013,-0.225346,1047,-0.045596,0.17975,87,9.378,10.532,14.163,18.681,0.43067595,0.99600128,1.858367,7.987558,11.689738,62.458142,538.5189,5990.54305,1.3839,-78.20511,25.51642,2404.92449,1454.98138,949.94311,-0.00286699,0.01683118,-0.03303773,0.0012923,0.05061814,0.02394239,0.63219535,300.61,372.84,6.2888,13.84132,0.39690104,0.00322486,-39.10165,-11.69757,-0.7563965,0.029419,795.9,888.3,24.3,0.415890741,0.42758306,0.440120667,0.448784992,0.452663685,762.8,844.4,23.7,772.4,847.9,23.9,-0.4627475,-0.570665,-0.488986,-0.53309,0.019235,0.52427,-0.4296155,-0.541935,-0.506373,-0.552315,-0.423327,-0.53403,-0.499716,-0.55394
25.37142857,0,0.199523136,9.473725908,30.71243606,11.79549069,0,0,0,0,43.18,19.45853537,10.581758,2.12593789,4,2,4,2,0,0,L109,1.15,11.38,8.51,14,13.69,11.895,2.2009373,73,470.64678,-0.238908,127,-0.001765,0.237143,68,8.391,10.657,13.247,16.744,0.411926786,0.997735669,1.932472,8.3807,1.944087,20.6305,206.7135,4130.18224,1.2769,-43.2931,22.6731,1800.51486,897.61153,902.90333,-0.00174681,0.01122807,-0.01464565,0.00027954,0.19803942,0.01304598,0.35216658,339.56,164.64,8.34426,14.45482,0.4050115,0.00129976,-42.49286,-13.12188,-0.7600774,0.035768,6.6,7.48,7.04,7.11,7.0575,0.312599984,73,470.64678,-0.231043,127,-0.001461,0.229582,61,7.539,10.554,11.27,14.363,0.396910493,0.952579918,2.206176,7.832514,1.645261,10.966998,133.1894,4132.81318,1.2761,-80.62846,19.02382,1791.87104,1068.98062,722.89043,-0.00268404,0.00985031,-0.02121932,0.00059493,0.07012894,0.01512041,0.39284751,346.48,155.3,8.16299,14.43479,0.40495673,0.00134515,-42.76417,-13.14333,-0.756889,0.036115,22.33,26.31,6.03,5.18,14.9625,9.467479535,76,531.59585,-0.223131,748,-0.037614,0.185517,61,7.539,10.554,11.266,14.363,0.396954371,0.952579918,2.168323,7.848067,10.600676,34.47938,275.1887,4451.53493,1.3382,-79.39943,29.82132,1842.25176,1191.97441,650.27735,-0.0030478,0.01860113,-0.04273084,0.00168203,0.07559507,0.02811714,0.7379299,230.38,285.5,6.23118,14.85301,0.39734944,0.00354028,-42.19668,-12.00876,-0.712065,0.026804,613.9,670.5,21.8,0.439168512,0.46880587,0.492650485,0.507250481,0.513082342,589.8,631.4,20.7,593.7,631.7,21,-0.4714255,-0.56872,-0.4835925,-0.531455,-0.008867,0.52839,-0.44068,-0.554235,-0.487647,-0.54981,-0.432321,-0.532715,-0.4969775,-0.55703
