SPS_L,NumRadicalElectrons_L,MaxPartialCharge_L,PEOE_VSA1_L,PEOE_VSA10_L,PEOE_VSA11_L,PEOE_VSA14_L,PEOE_VSA4_L,SlogP_VSA1_L,SlogP_VSA12_L,TPSA_L,EState_VSA9_L,VSA_EState2_L,VSA_EState4_L,NOCount_L,NumAliphaticHeterocycles_L,NumHAcceptors_L,fr_Imine_L,fr_bicyclic_L,ODI_HOMO_1_Free,ODI_HOMO_Free,ODI_Mean_Free,ODI_Std_Free,ALIEmin_Free,ODI_HOMO_Res,ODI_Std_Res,ESPmin_Res,ALIEmin_Res,Co_Mulliken_CoL2,Co_NPA_CoL2,ln(dr)
33.18518519,0.0,0.199805815,9.473725908,29.7066049,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,10.08396416,5.209909925,4.0,2.0,4.0,2.0,6.0,6.23,5.98,5.4825,0.629737048,8.32635,6.1,1.44333598,-80.68189,8.10193,-0.008311,0.50196,1.9
25.20930233,0.0,0.199805817,9.473725908,29.7066049,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,10.56423993,15.26917794,4.0,2.0,4.0,2.0,6.0,8.16,8.1,7.865,0.265941723,8.29672,7.72,0.056291651,-80.6715,8.11003,-0.000521,0.51412,1.86
23.56097561,0.0,0.200504992,9.473725908,41.34104659,0.0,0.0,0.0,0.0,0.0,43.18,19.45853537,10.51920477,5.826932003,4.0,2.0,4.0,2.0,6.0,3.8,5.18,6.18,1.885457504,8.31085,5.41,0.775580428,-76.89192,8.16572,-0.02179,0.52499,0.99
21.83673469,0.0,0.199782112,9.473725908,29.7066049,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,10.80365169,9.742917538,4.0,2.0,4.0,2.0,8.0,6.95,6.72,6.575,0.28640007,8.46622,7.41,0.178237903,-77.53256,8.12765,-0.007335,0.52043,2.24
20.0,0.0,0.200504995,9.473725908,29.7066049,0.0,0.0,0.0,0.0,0.0,43.18,19.45853537,11.30497255,11.68337868,4.0,2.0,4.0,2.0,8.0,7.46,7.49,7.545,0.075,8.53935,7.35,0.040311289,-79.90683,8.14757,-0.028787,0.52843,1.28
19.7704918,0.0,0.200504995,9.473725908,29.7066049,0.0,0.0,0.0,0.0,0.0,43.18,19.45853537,11.36922652,14.36008528,4.0,2.0,4.0,2.0,8.0,8.37,7.75,7.635,0.480754615,8.60892,8.34,0.209568008,-73.78261,8.0511,0.001851,0.52683,1.67
25.51351351,0.0,0.200150776,9.473725908,17.49867213,12.20793278,0.0,0.0,0.0,0.0,43.18,19.45853537,10.44805493,4.169588303,4.0,2.0,4.0,2.0,0.0,4.7,4.5,5.95,1.36077184,8.522,6.8,0.823084898,-81.34503,8.222,0.003584,0.51485,1.45
23.53488372,0.0,0.200850324,9.473725908,17.49867213,12.20793278,0.0,0.0,0.0,0.0,43.18,19.45853537,10.85413202,6.430035834,4.0,2.0,4.0,2.0,1.0,4.15,9.78,5.285,2.605115161,8.62228,4.18,1.312202347,-80.53027,8.22286,-0.012306,0.51414,0.66
21.30769231,0.0,0.200945584,9.473725908,17.49867213,11.20210162,0.0,0.0,0.0,0.0,43.18,19.45853537,11.459435,4.048110334,4.0,2.0,4.0,2.0,0.0,6.94,6.15,6.0575,0.576080507,8.44952,7.76,1.500656107,-78.39246,8.08428,0.019235,0.52427,0.36
25.37142857,0.0,0.199523136,9.473725908,30.71243606,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,10.581758,2.12593789,4.0,2.0,4.0,2.0,0.0,11.38,8.51,11.895,2.2009373,8.34426,7.48,0.312599984,-80.62846,8.16299,-0.008867,0.52839,1.15
