No,yield20,SlogP_VSA3,BCUT2D_CHGHI,NumAliphaticRings,PEOE_VSA10,LEAmin_Rest,NumAliphaticCarbocycles,LEAmin_CoL2,BCUT2D_LOGPHI,LEAmin_Free,fr_bicyclic,PEOE_VSA11,EState_VSA2,EState_VSA9,BCUT2D_LOGPLOW,BalabanJ,ALIEmin_Rest,ODI_Std_Rest,VSA_EState1,BCUT2D_MRLOW,Chi4n,MaxPartialCharge,Mol_Radius_CoL2,HOMO_LUMO_Gap_Rest,LUMO_CoL2,MinPartialCharge,LUMO_Free,EState_VSA5,ALIEmin_Free,Mol_Radius_Free,Mol_Size_L_CoL2,Pos_Surface_Area_Free,Nonpolar_Area_Rest,ALIEmax_Free,HOMO_LUMO_Gap_Free,BCUT2D_MWHI,LEAmax_Rest,Weight_CoL2,Mol_Size_L_Rest,MaxAbsEStateIndex,ODI_HOMO_1_Free,MaxAbsPartialCharge,MPI_CoL2,MinAbsEStateIndex,Nu_CoL2,MPP_Free,Overall_Average_CoL2,Len_Div_Diameter_CoL2,ESPmax_CoL2,ESPmax_Rest,VSA_EState4
L106,0,9.473725908,2.402086856,2,18.21502853,-42.17914,0,-41.72353,2.43715708,-41.34623,0,11.67707092,35.76246431,14.46613064,-2.182839622,1.402755947,7.04825,3.398503347,12.85856954,0.148974173,4.919705182,0.233574755,9.235,0.161757,-0.007797,-0.467324824,-0.023798,0.0,8.33228,9.04,18.465,1016.14101,0.0,15.79179,0.189839,16.52543628,-13.34749,543.50212,18.464,10.28546989,7.61,0.467324824,2.60367358,0.167783687,0.0,1.438019,-0.09568325,0.999729291,-16.88829,-21.19984,4.385184959
L107,0,22.31536915,2.552985997,3,17.49867213,-42.55801,1,-42.09829,2.518686861,-41.02774,1,12.20793278,24.29161443,19.45853537,-2.410200775,1.268712165,8.22286,1.312202347,14.03305556,0.156376837,6.885309118,0.200850324,8.928,0.215622,-0.041718,-0.4692952,-0.014247,11.12690298,8.62228,9.108,17.372,1008.66821,345.02,13.67106,0.215718,16.5257264,-13.09243,621.6341,17.388,7.016527778,4.15,0.4692952,0.67601326,0.170341794,0.07087682,1.094369,-0.00341739,0.972894265,27.1136,16.95877,6.430035834
L108,0,20.67582753,2.609321607,3,17.49867213,-39.10222,1,-39.10165,2.582569346,-39.66946,0,11.20210162,12.08368166,19.45853537,-2.457738966,1.270839935,8.08428,1.500656107,15.30640873,0.0632514,8.835326962,0.200945584,9.378,0.209979,-0.045596,-0.461154084,-0.017105,0.0,8.44952,9.149,18.681,1144.84287,400.19,13.69885,0.214585,16.54015466,-13.10188,739.81013,18.682,7.653204365,6.94,0.461154084,0.63219535,0.3266401,0.05061814,1.841677,-0.00286699,0.99600128,25.51642,19.9911,4.048110334
L114,0,9.473725908,2.585196078,3,18.6287544,-40.17005,1,-39.94041,2.519489492,-40.68161,0,11.79549069,28.32865307,19.45853537,-2.261164154,1.806201557,8.06856,1.397175723,11.88361914,0.220291592,2.8028091,0.199171265,7.025,0.249744,-0.033748,-0.477901695,0.021183,0.0,8.34244,7.808,14.011,708.68967,234.32,13.99389,0.254087,16.51352894,-13.17763,353.36614,14.011,5.941809571,8.88,0.477901695,0.84592384,0.138888889,0.10834758,1.080233,-0.00042926,0.997224199,30.78989,18.57827,0.147058768
L115,0,9.473725908,2.537174832,3,18.6287544,-41.3764,1,-41.0796,2.479002597,-41.4355,0,11.79549069,28.32865307,19.45853537,-2.453194873,1.852250017,8.10933,1.538619511,12.04361914,0.176682534,3.208139186,0.199169576,7.087,0.247887,-0.035747,-0.477901703,0.023322,6.420821623,8.23532,7.061,14.121,742.81268,263.51,14.11003,0.257584,16.51290994,-13.2594,367.39276,14.121,6.021809571,8.74,0.477901703,0.80613115,0.137871788,0.08267705,1.124298,0.0008869,0.996260759,31.56928,19.42878,0.109076909
L117,0,22.31536915,2.509565031,4,18.6287544,-43.74374,2,-43.36031,2.452633979,-40.76168,4,11.79549069,12.08368166,19.45853537,-2.441117663,1.236049218,8.08213,0.369619737,14.118653,0.21247336,10.48009301,0.19986201,8.862,0.12596,-0.065406,-0.477896068,-0.05969,118.4249129,8.26566,8.316,16.148,1145.00432,380.44,14.52574,0.126,16.51272309,-13.06681,759.88439,16.155,7.059326499,6.43,0.477896068,0.6454539,0.175317443,0.10277042,2.298582,-0.00247086,0.91108102,32.64992,19.37947,1.915045588
L119,0,4.736862954,2.109857666,1,12.30080996,-39.47823,0,-39.22176,2.132452773,-39.57584,1,0.0,0.0,4.736862954,-2.030900547,2.131945487,8.07148,0.506526159,5.375402731,0.347261418,1.675234598,0.234992299,6.34,0.161172,-0.092887,-0.474408077,-0.062113,0.0,8.2614,6.352,12.496,407.92489,96.16,14.89571,0.169747,16.49337395,-13.07357,259.17013,12.625,5.375402731,8.55,0.474408077,1.08682592,0.667363946,0.13903,0.355188,0.0002995,0.985488959,39.69588,24.90144,1.805
L120,0,11.15768458,2.393225137,2,23.58924705,-40.39924,1,-40.08866,2.401488269,-40.40753,3,0.0,12.14580722,14.46613064,-2.141682084,1.71936853,7.977,2.149430157,11.33527019,0.205725961,3.086962396,0.236065991,7.261,0.191431,-0.074227,-0.49661323,-0.041262,11.12690298,8.10739,7.089,14.228,553.36404,147.27,15.20488,0.189833,16.5085219,-13.20731,341.27085,14.231,6.040334467,9.34,0.49661323,0.93543055,0.101395503,0.13658381,1.092434,-0.00110931,0.979754855,42.97691,29.13278,4.258371047
L121,0,11.15768458,2.393412418,3,17.83973521,-40.3103,2,-39.99538,2.403480957,-39.36458,3,0.0,12.14580722,14.71324621,-2.150707135,1.437327132,8.0842,2.104025903,6.183731418,0.205752022,4.419015529,0.235922587,7.625,0.185597,-0.078904,-0.470036674,-0.046029,48.92493909,8.13972,7.76,14.816,673.32288,220.65,14.79441,0.187629,16.50800989,-13.04677,379.36204,14.786,6.183731418,8.03,0.470036674,0.81617482,0.149385813,0.14873271,1.182389,-0.00305802,0.971540984,37.28963,22.35876,4.820430365
L122,0,4.736862954,2.340172897,1,11.73576882,-41.24896,0,-40.82482,2.40420316,-40.21472,1,6.103966388,12.14580722,14.71324621,-2.094918894,1.578191869,8.19351,1.775561531,6.336987198,0.196388152,3.513411006,0.236282795,8.047,0.160076,-0.094469,-0.465481477,-0.067257,0.0,8.29117,8.081,15.932,654.93196,189.1,14.22212,0.162436,16.50784696,-13.07345,411.36248,15.831,6.336987198,4.93,0.465481477,0.84977344,0.086231209,0.1301997,1.271125,-0.00190471,0.989934137,39.93984,26.04068,3.973906421
