No,yield20,BCUT2D_CHGHI,PEOE_VSA10,NumAliphaticRings,BCUT2D_LOGPHI,NumAliphaticCarbocycles,SlogP_VSA3,LEAmin_CoL2
L106,0,2.402086856,18.21502853,2,2.43715708,0,9.473725908,-41.72353
L107,0,2.552985997,17.49867213,3,2.518686861,1,22.31536915,-42.09829
L108,0,2.609321607,17.49867213,3,2.582569346,1,20.67582753,-39.10165
L114,0,2.585196078,18.6287544,3,2.519489492,1,9.473725908,-39.94041
L115,0,2.537174832,18.6287544,3,2.479002597,1,9.473725908,-41.0796
L117,0,2.509565031,18.6287544,4,2.452633979,2,22.31536915,-43.36031
L119,0,2.109857666,12.30080996,1,2.132452773,0,4.736862954,-39.22176
L120,0,2.393225137,23.58924705,2,2.401488269,1,11.15768458,-40.08866
L121,0,2.393412418,17.83973521,3,2.403480957,2,11.15768458,-39.99538
L122,0,2.340172897,11.73576882,1,2.40420316,0,4.736862954,-40.82482
L123,0,2.506120134,11.73576882,2,2.504310518,1,23.17955701,-36.08727
L124,0,2.383596246,12.14580722,2,2.394643622,1,17.5785062,-39.51758
L125,0,2.303688316,18.75268918,2,2.272361843,0,9.473725908,-39.65119
L126,0,2.276551815,12.71084835,2,2.144062329,0,9.473725908,-40.05443
L127,0,2.293974252,12.71084835,2,2.172182938,0,22.31536915,-39.52303
L129,0,2.31197074,12.71084835,2,2.189578378,0,9.473725908,-39.55486
L130,0,2.323396605,12.71084835,2,2.216818969,0,9.473725908,-39.60109
L131,0,2.2961646,12.71084835,2,2.190935016,0,9.473725908,-39.57598
L132,0,2.16976878,0.0,0,2.276736574,0,10.82998094,-34.37382
L133,0,2.110530717,0.0,0,2.341362931,0,0.0,-36.13948
L134,0,2.333303721,13.21376393,4,2.420154232,2,9.473725908,-41.64193
L135,0,2.286631681,13.21376393,2,2.408100912,0,22.31536915,-40.84406
L136,0,2.291618293,25.29744559,2,2.418024778,0,9.473725908,-41.34063
L138,0,2.393133424,25.29744559,3,2.383444722,1,9.473725908,-40.01181
L139,0,2.276407987,24.37980421,2,2.349217445,0,9.473725908,-40.01029
L140,0,2.244317792,12.64872279,1,2.280587038,0,15.536432,-39.56052
L141,0,2.231378699,12.30080996,1,2.188138681,0,4.736862954,-40.01506
L142,0,2.537955773,17.49867213,3,2.527473373,1,9.473725908,-41.30207
L146,0,2.255103274,12.71084835,2,2.105977368,0,9.473725908,-39.48424
