No,yield20,BCUT2D_CHGHI
L1,89 ,2.60988784
L10,92 ,2.611233303
L100,92 ,2.544034168
L101,93 ,2.563543858
L102,70 ,2.527931565
L103,90 ,2.546301548
L104,88 ,2.546659201
L105,60 ,2.602332184
L106,0 ,2.402086856
L107,11 ,2.552985997
L108,16 ,2.609321607
L109,68 ,2.512123199
L11,92 ,2.611044241
L110,75 ,2.576310111
L111,60 ,2.499671292
L112,60 ,2.518948837
L113,51 ,2.481108385
L114,0 ,2.585196078
L115,0 ,2.537174832
L116,89 ,2.586140029
L117,18 ,2.509565031
L118,43 ,2.501609688
L119,7 ,2.109857666
L12,95 ,2.611470231
L120,5 ,2.393225137
L121,0 ,2.393412418
L122,16 ,2.340172897
L123,0 ,2.506120134
L124,0 ,2.383596246
L125,0 ,2.303688316
L126,0 ,2.276551815
L127,16 ,2.293974252
L128,32 ,2.356286089
L129,12 ,2.31197074
L13,85 ,2.52480412
L130,3 ,2.323396605
L131,15 ,2.2961646
L132,16 ,2.16976878
L133,0 ,2.110530717
L134,0 ,2.333303721
L135,0 ,2.286631681
L136,0 ,2.291618293
L137,94 ,2.538487908
L138,0 ,2.393133424
L139,0 ,2.276407987
L140,0 ,2.244317792
L141,0 ,2.231378699
L142,16 ,2.537955773
L143,96 ,2.530792523
L144,20 ,2.500980421
L145,39 ,2.452051296
L146,0 ,2.255103274
L147,0 ,2.235604412
L148,0 ,2.206104293
L149,0 ,1.998880217
L150,0 ,2.234774936
L151,0 ,2.216304056
L152,0 ,2.246744664
L153,0 ,2.230599256
L154,0 ,2.299866423
L155,0 ,2.343046474
L156,0 ,2.260055507
L157,0 ,2.173755636
L158,0 ,2.32289336
L159,0 ,2.296632537
L160,0 ,2.276326569
L161,0 ,2.260791473
L162,90 ,2.611413479
L163,90 ,2.546496927
L164,87 ,2.528731629
L165,96 ,2.529154013
L166,90 ,2.500711457
L167,91 ,2.500234532
L168,94 ,2.500710217
L169,90 ,2.499760927
L17,10 ,2.376280483
L170,88 ,2.500126127
L171,90 ,2.500440045
L18,10 ,2.377289089
L2,92 ,2.543433144
L23,25 ,2.380200116
L25,10 ,2.36996278
L26,13 ,2.373585285
L37,0 ,2.14408716
L40,0 ,2.184838915
L41,0 ,2.279239376
L42,0 ,2.406975547
L48,4 ,2.327570891
L49,10 ,2.371539895
L51,32 ,2.303398783
L53,8 ,2.263623003
L54,0 ,2.281056663
L55,6 ,2.292656022
L56,7 ,2.217481696
L57,30 ,2.319497399
L58,50 ,2.324100228
L59,30 ,2.356593735
L60,0 ,2.276502374
L61,9 ,2.259837618
L62,0 ,2.307468337
L63,0 ,2.263380511
L64,0 ,2.268380699
L65,0 ,2.346251995
L66,0 ,2.370119083
L67,0 ,2.342646255
L68,5 ,2.377972057
L8,70 ,2.501195214
L9,92 ,2.612052234
L93,89 ,2.568940092
L94,91 ,2.550941314
L95,38 ,2.542684037
L96,88 ,2.564213883
L97,92 ,2.51851882
L98,42 ,2.446384428
L99,95 ,2.538836855
