,accuracy,precision,recall,f1
Logistic Regression,0.8521739130434781,0.8482323232323232,0.8155555555555555,0.8227861319966582
Random Forest,0.8521739130434783,0.8285353535353537,0.7733333333333332,0.7774042950513538
SVM,0.8521739130434783,0.8698989898989898,0.768888888888889,0.8081979458450046
K-Nearest Neighbors,0.8782608695652174,0.8587878787878788,0.8555555555555555,0.8553049289891396
Decision Tree,0.7739130434782608,0.7673593073593074,0.7733333333333332,0.7624974627532172
Gradient Boosting,0.8347826086956521,0.8340909090909092,0.8333333333333333,0.8022222222222222
Naive Bayes,0.8608695652173914,0.8190909090909091,0.8533333333333333,0.8344596786082853
MLP,0.8608695652173914,0.885,0.7933333333333333,0.8251843512524626
gbdt,0.8521739130434783,0.8225524475524477,0.8133333333333332,0.7936507936507936
extra_trees,0.8695652173913044,0.9349999999999999,0.7511111111111111,0.8326006191950466
adaboost,0.8434782608695652,0.8568181818181818,0.8533333333333332,0.8188744588744589
LSVC,0.8695652173913043,0.8374825174825175,0.8755555555555554,0.8489130434782609
XGBoost,0.8521739130434781,0.8555194805194806,0.7933333333333332,0.8157142857142856
LGBM,0.8434782608695652,0.8590909090909091,0.7733333333333332,0.8034920634920635
CatBoost,0.8521739130434783,0.8840909090909091,0.7733333333333332,0.8126423902894491
GPC,0.8869565217391304,0.9014141414141414,0.8377777777777778,0.8613622291021672
